check,entity,issue,severity,timestamp,context,correlated_count,cve_id,details,extra_data,recommendation,risk_level,score,source
SG Puerto sensible abierto,launch-wizard-1 (sg-03a2989d564da96ef),Puerto 22 (SSH) abierto a 0.0.0.0/0,CRITICAL,2026-04-01T20:44:54.814658,"{'is_public': True, 'has_internet_exposure': True, 'is_production': False, 'has_sensitive_data': False, 'resource_type': 'EC2'}",0,,,,,CRITICAL,100,scan
SG Puerto sensible abierto,launch-wizard-3 (sg-08964d829d74b18f6),Puerto 22 (SSH) abierto a 0.0.0.0/0,CRITICAL,2026-04-01T20:44:54.814658,"{'is_public': True, 'has_internet_exposure': True, 'is_production': False, 'has_sensitive_data': False, 'resource_type': 'EC2'}",0,,,,,CRITICAL,100,scan
SG Puerto sensible abierto,launch-wizard-2 (sg-066a34ceaaad3b6b3),Puerto 22 (SSH) abierto a 0.0.0.0/0,CRITICAL,2026-04-01T20:44:54.814658,"{'is_public': True, 'has_internet_exposure': True, 'is_production': False, 'has_sensitive_data': False, 'resource_type': 'EC2'}",0,,,,,CRITICAL,100,scan
Usuarios sin MFA,haljr11,MFA no habilitado,HIGH,2026-04-01T20:44:54.814658,"{'is_public': False, 'has_internet_exposure': False, 'is_production': False, 'has_sensitive_data': False, 'resource_type': 'Unknown'}",2,,,,,HIGH,70,scan
Access Key antigua,haljr11,Access Key con 99 días (>90),MEDIUM,2026-04-01T20:44:54.814658,"{'is_public': False, 'has_internet_exposure': False, 'is_production': False, 'has_sensitive_data': True, 'resource_type': 'Credential'}",2,,,"{'key_id': '[REDACTED]', 'age_days': 99}",,MEDIUM,55,scan
Access Key antigua,haljr11,Access Key con 92 días (>90),MEDIUM,2026-04-01T20:44:54.814658,"{'is_public': False, 'has_internet_exposure': False, 'is_production': False, 'has_sensitive_data': True, 'resource_type': 'Credential'}",2,,,"{'key_id': '[REDACTED]', 'age_days': 92}",,MEDIUM,55,scan
Access Analyzer deshabilitado,us-east-2,No hay analizadores activos en esta región,MEDIUM,2026-04-01T20:44:54.814658,"{'is_public': False, 'has_internet_exposure': False, 'is_production': False, 'has_sensitive_data': False, 'resource_type': 'Credential'}",0,,,,,LOW,30,scan
Access Analyzer deshabilitado,us-west-1,No hay analizadores activos en esta región,MEDIUM,2026-04-01T20:44:54.814658,"{'is_public': False, 'has_internet_exposure': False, 'is_production': False, 'has_sensitive_data': False, 'resource_type': 'Credential'}",0,,,,,LOW,30,scan
Access Analyzer deshabilitado,us-west-2,No hay analizadores activos en esta región,MEDIUM,2026-04-01T20:44:54.814658,"{'is_public': False, 'has_internet_exposure': False, 'is_production': False, 'has_sensitive_data': False, 'resource_type': 'Credential'}",0,,,,,LOW,30,scan
Access Analyzer deshabilitado,eu-west-1,No hay analizadores activos en esta región,MEDIUM,2026-04-01T20:44:54.814658,"{'is_public': False, 'has_internet_exposure': False, 'is_production': False, 'has_sensitive_data': False, 'resource_type': 'Credential'}",0,,,,,LOW,30,scan
